Time,VII_Lg,IX_Lg,P15,P16,3x_h2,3x_o2,4x_h2,4x_o2,25x_h2,25x_o2,35x_h2,35x_o2,VIIx_h2,VIIx_o2,IXx_h2,IXx_o2,XIIIx_h2,XIIIx_o2,
          3.00000000,          0.29999215,          0.29999214,    2999921.48353178,    2999921.49556579,          0.00000812,          0.00000000,          0.00000012,          0.00000412,          1.00000000,          0.00000000,          0.00000002,          0.99999998,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          3.10000000,          0.29999189,          0.29999188,    2999918.86618547,    2999918.87822742,          0.00000839,          0.00000000,          0.00000012,          0.00000425,          1.00000000,          0.00000000,          0.00000002,          0.99999998,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          3.20000000,          0.29999162,          0.29999162,    2999916.24892241,    2999916.26097251,          0.00000866,          0.00000000,          0.00000012,          0.00000439,          1.00000000,          0.00000000,          0.00000002,          0.99999998,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          3.30000000,          0.29999136,          0.29999136,    2999913.63174309,    2999913.64380156,          0.00000893,          0.00000000,          0.00000013,          0.00000453,          1.00000000,          0.00000000,          0.00000002,          0.99999998,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          3.40000000,          0.29999110,          0.29999110,    2999911.01464803,    2999911.02671509,          0.00000920,          0.00000000,          0.00000013,          0.00000467,          1.00000000,          0.00000000,          0.00000002,          0.99999998,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          3.50000000,          0.29999084,          0.29999083,    2999908.39763774,    2999908.40971361,          0.00000947,          0.00000000,          0.00000014,          0.00000480,          1.00000000,          0.00000000,          0.00000002,          0.99999998,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          3.60000000,          0.29999058,          0.29999057,    2999905.78071272,    2999905.79279762,          0.00000974,          0.00000000,          0.00000014,          0.00000494,          1.00000000,          0.00000000,          0.00000002,          0.99999998,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          3.70000000,          0.29999032,          0.29999031,    2999903.16387348,    2999903.17596764,          0.00001001,          0.00000000,          0.00000015,          0.00000508,          1.00000000,          0.00000000,          0.00000003,          0.99999997,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          3.80000000,          0.29999005,          0.29999005,    2999900.54712053,    2999900.55922417,          0.00001028,          0.00000000,          0.00000015,          0.00000522,          1.00000000,          0.00000000,          0.00000003,          0.99999997,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          3.90000000,          0.29998979,          0.29998979,    2999897.93045437,    2999897.94256771,          0.00001055,          0.00000000,          0.00000015,          0.00000535,          1.00000000,          0.00000000,          0.00000003,          0.99999997,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          4.00000000,          0.29998953,          0.29998952,    2999895.31387549,    2999895.32599876,          0.00001082,          0.00000000,          0.00000016,          0.00000549,          1.00000000,          0.00000000,          0.00000003,          0.99999997,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          4.10000000,          0.29998927,          0.29998926,    2999892.69738440,    2999892.70951783,          0.00001109,          0.00000000,          0.00000016,          0.00000563,          1.00000000,          0.00000000,          0.00000003,          0.99999997,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
          4.20000000,          0.29998901,          0.29998900,    2999890.08098161,    2999890.09312542,          0.00001136,          0.00000000,          0.00000017,          0.00000576,          1.00000000,          0.00000000,          0.00000003,          0.99999997,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,          0.00000000,
