       Time,    ec 1-1n, ec 1-1n-h2, ec 1-1n-o2,    ec 1-2n, ec 1-2n-h2, ec 1-2n-o2,      cs 1n,   cs 1n-h2,   cs 1n-o2,   cs 1-l_g,     cs 2-p,      cs 2n,   cs 2n-h2,   cs 2n-o2,      as 1n,   as 1n-h2,   as 1n-o2,   as 1-l_g,     as 2-p,      as 2n,   as 2n-h2,   as 2n-o2,      bp 1n,   bp 1n-h2,   bp 1n-o2,
        135.00000000,         16.34680785,          0.00469074,          0.00000000,         17.97016105,          0.00000000,          0.00234537,        362.00076185,          0.00000000,          0.00000000,          0.29999424,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.49327343,          0.00000000,          0.00000000,          0.30000551,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        140.00000000,         16.29182284,          0.00486447,          0.00000000,         17.94035270,          0.00000000,          0.00243224,        362.05241161,          0.00000000,          0.00000000,          0.29999403,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.52665181,          0.00000000,          0.00000000,          0.30000571,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        145.00000000,         16.23964077,          0.00503820,          0.00000000,         17.91197505,          0.00000000,          0.00251910,        362.10120369,          0.00000000,          0.00000000,          0.29999382,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.55863861,          0.00000000,          0.00000000,          0.30000592,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        150.00000000,         16.19011853,          0.00521193,          0.00000000,         17.88495867,          0.00000000,          0.00260597,        362.14728421,          0.00000000,          0.00000000,          0.29999361,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.58930018,          0.00000000,          0.00000000,          0.30000613,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        155.00000000,         16.14312032,          0.00538566,          0.00000000,         17.85923750,          0.00000000,          0.00269283,        362.19079184,          0.00000000,          0.00000000,          0.29999340,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.61869966,          0.00000000,          0.00000000,          0.30000634,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        160.00000000,         16.09851728,          0.00555939,          0.00000000,         17.83474871,          0.00000000,          0.00277970,        362.23185817,          0.00000000,          0.00000000,          0.29999319,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.64689710,          0.00000000,          0.00000000,          0.30000655,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        165.00000000,         16.05618711,          0.00573313,          0.00000000,         17.81143254,          0.00000000,          0.00286656,        362.27060807,          0.00000000,          0.00000000,          0.29999299,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.67394966,          0.00000000,          0.00000000,          0.30000676,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        170.00000000,         16.01601378,          0.00590686,          0.00000000,         17.78923212,          0.00000000,          0.00295343,        362.30716003,          0.00000000,          0.00000000,          0.29999278,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.69991173,          0.00000000,          0.00000000,          0.30000697,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        175.00000000,         15.97788716,          0.00608059,          0.00000000,         17.76809336,          0.00000000,          0.00304029,        362.34162648,          0.00000000,          0.00000000,          0.29999257,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.72483506,          0.00000000,          0.00000000,          0.30000718,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        180.00000000,         15.94170275,          0.00625432,          0.00000000,         17.74796482,          0.00000000,          0.00312716,        362.37411414,          0.00000000,          0.00000000,          0.29999236,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.74876889,          0.00000000,          0.00000000,          0.30000738,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        185.00000000,         15.90736140,          0.00642805,          0.00000000,         17.72879755,          0.00000000,          0.00321402,        362.40472425,          0.00000000,          0.00000000,          0.29999215,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.77176008,          0.00000000,          0.00000000,          0.30000759,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        190.00000000,         15.87476901,          0.00660178,          0.00000000,         17.71054497,          0.00000000,          0.00330089,        362.43355290,          0.00000000,          0.00000000,          0.29999194,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.79385324,          0.00000000,          0.00000000,          0.30000780,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        195.00000000,         15.84383629,          0.00677551,          0.00000000,         17.69316279,          0.00000000,          0.00338776,        362.46069126,          0.00000000,          0.00000000,          0.29999173,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.81509079,          0.00000000,          0.00000000,          0.30000801,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        200.00000000,         15.81447849,          0.00694924,          0.00000000,         17.67660887,          0.00000000,          0.00347462,        362.48622585,          0.00000000,          0.00000000,          0.29999153,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.83551312,          0.00000000,          0.00000000,          0.30000822,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        205.00000000,         15.78661521,          0.00712297,          0.00000000,         17.66084311,          0.00000000,          0.00356149,        362.51023878,          0.00000000,          0.00000000,          0.29999132,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.85515866,          0.00000000,          0.00000000,          0.30000843,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        210.00000000,         15.76017016,          0.00729671,          0.00000000,         17.64582737,          0.00000000,          0.00364835,        362.53280795,          0.00000000,          0.00000000,          0.29999111,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.87406397,          0.00000000,          0.00000000,          0.30000864,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        215.00000000,         15.73507091,          0.00747044,          0.00000000,         17.63152536,          0.00000000,          0.00373522,        362.55400731,          0.00000000,          0.00000000,          0.29999090,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.89226388,          0.00000000,          0.00000000,          0.30000885,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
        220.00000000,         15.71124877,          0.00764417,          0.00000000,         17.61790255,          0.00000000,          0.00382208,        362.57390700,          0.00000000,          0.00000000,          0.29999069,     101000.00000000,          0.25394000,          0.25343212,          0.00025394,        360.90979149,          0.00000000,          0.00000000,          0.30000905,     101000.00000000,          0.25394000,          0.00025394,          0.25343212,          0.08200000,          0.00000000,          0.00000000,
